train_loss,train_acc,epoch,step,val_loss,val_acc
0.2982385456562042,0.96875,0,49,,
0.7963700294494629,0.75,0,99,,
0.1830110400915146,0.96875,0,149,,
0.4345082938671112,0.78125,0,199,,
0.35745519399642944,0.875,0,249,,
0.09261365234851837,1.0,0,299,,
0.3924207091331482,0.90625,0,349,,
0.3282838761806488,0.875,0,399,,
0.1440209001302719,0.9375,0,449,,
0.07420539855957031,1.0,0,499,,
0.21630635857582092,0.90625,0,549,,
0.35203373432159424,0.875,0,599,,
0.48013389110565186,0.875,0,649,,
0.33645662665367126,0.90625,0,699,,
0.05615883693099022,1.0,0,749,,
0.44952526688575745,0.90625,0,799,,
0.15886804461479187,0.96875,0,849,,
0.3980045020580292,0.90625,0,899,,
0.12817201018333435,0.96875,0,949,,
0.1318824142217636,0.96875,0,999,,
0.13535821437835693,0.9375,0,1049,,
0.2548533082008362,0.9375,0,1099,,
0.23531916737556458,0.875,0,1149,,
0.36283206939697266,0.875,0,1199,,
0.19953203201293945,0.9375,0,1249,,
0.33344680070877075,0.96875,0,1299,,
,,0,1312,0.15461115539073944,0.9546666741371155
0.17637959122657776,0.90625,1,1349,,
0.0732026919722557,0.96875,1,1399,,
0.04623047262430191,1.0,1,1449,,
0.04605501890182495,1.0,1,1499,,
0.07826399058103561,0.96875,1,1549,,
0.2669409215450287,0.90625,1,1599,,
0.03994578495621681,1.0,1,1649,,
0.09186840057373047,0.96875,1,1699,,
0.0688517838716507,0.96875,1,1749,,
0.14716839790344238,0.875,1,1799,,
0.16462890803813934,0.96875,1,1849,,
0.07005598396062851,1.0,1,1899,,
0.10038803517818451,0.9375,1,1949,,
0.08683717995882034,0.96875,1,1999,,
0.05480789393186569,0.96875,1,2049,,
0.13109177350997925,0.96875,1,2099,,
0.10650846362113953,0.96875,1,2149,,
0.04150310158729553,1.0,1,2199,,
0.37564176321029663,0.9375,1,2249,,
0.18239592015743256,0.9375,1,2299,,
0.05817949399352074,0.96875,1,2349,,
0.018590258434414864,1.0,1,2399,,
0.06210844963788986,0.96875,1,2449,,
0.08519957959651947,0.96875,1,2499,,
